名前,ポジション,デュレーション,00_01_GameCount,00_02_Time Out,00_03_Point,00_04_#,01_SV_00,01_SV_01,01_SV_02,01_SV_03,02_RV_01,02_RV_02,02_RV_03
KIMURA Kasumi,16:19.0,00:05.6,0:02,0:01,HAYATA Hina,#02,KIMURA Kasumi,Side,B,BM,F,ドライブ,B
KIMURA Kasumi,16:33.6,00:05.4,0:02,0:01,HAYATA Hina,#02,KIMURA Kasumi,(Side),B,FMS,F,Push,B
HAYATA Hina,16:55.8,00:05.4,0:02,0:01,HAYATA Hina,#01,HAYATA Hina,(Side),B,B,B,ドライブ,
HAYATA Hina,17:06.9,00:05.7,0:02,0:01,KIMURA Kasumi,#02,HAYATA Hina,Side,B,B,B,ドライブ,FM
KIMURA Kasumi,17:18.2,00:05.7,0:02,0:01,KIMURA Kasumi,#03,KIMURA Kasumi,(Side),B,FMS,F,Push,BMS
KIMURA Kasumi,17:30.4,00:05.4,0:02,0:01,KIMURA Kasumi,#03,KIMURA Kasumi,(Side),B,FS,B,Chiquita,FMS
HAYATA Hina,17:45.4,00:06.1,0:02,0:01,,SV Let,HAYATA Hina,(Side),F,BMS,F,,
HAYATA Hina,17:56.4,00:07.5,0:02,0:01,HAYATA Hina,#05,HAYATA Hina,Side,B,FMS,F,Flick,BM
HAYATA Hina,18:15.7,00:07.3,0:02,0:01,KIMURA Kasumi,#02,HAYATA Hina,(Side),B,BMS,B,Push,BMS
KIMURA Kasumi,18:37.1,00:10.4,0:02,0:01,HAYATA Hina,#10-,KIMURA Kasumi,Side,B,FMS,B,Stop,FS
KIMURA Kasumi,18:57.7,00:05.5,0:02,0:01,KIMURA Kasumi,#03,KIMURA Kasumi,Side,B,FMS,F,Push,BM
HAYATA Hina,19:13.9,00:06.3,0:02,0:01,KIMURA Kasumi,#02,HAYATA Hina,(Side),B,B,B,ドライブ,F
HAYATA Hina,20:53.6,00:10.0,0:02,1:01,HAYATA Hina,#05,HAYATA Hina,Side,B,FMS,F,Push,B
KIMURA Kasumi,21:18.6,00:06.3,0:02,1:01,HAYATA Hina,#02,KIMURA Kasumi,Back,F,FMS,F,Push,BM
KIMURA Kasumi,21:36.8,00:05.2,0:02,1:01,KIMURA Kasumi,#01,KIMURA Kasumi,Side,B,FMS,F,Push,
HAYATA Hina,22:00.2,00:08.0,0:02,1:01,KIMURA Kasumi,#02,HAYATA Hina,Side,B,BMS,F,Flick,B
HAYATA Hina,22:17.4,00:06.8,0:02,1:01,HAYATA Hina,#03,HAYATA Hina,Side,B,F,F,ドライブ,B
KIMURA Kasumi,22:37.8,00:08.1,0:02,1:01,KIMURA Kasumi,#05,KIMURA Kasumi,(Side),B,FMS,F,Stop,FMS
